date,file_count,file_link,file_name,link,title,type
2023-08-21,,{},,https://jwch.fzu.edu.cn/info/1035/12913.htm,关于开展智慧教室使用培训工作的通知,【综合科】
2023-08-26,"[220, 1064]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049232', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049231'}","附件2：承诺书.doc,附件1：福州大学2023级“数理综合班”招生简章.doc",https://jwch.fzu.edu.cn/info/1037/12927.htm,福州大学关于开展2023级“数理综合班”招生工作的通知,【教研教改】
2023-08-26,"[1113, 781]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049235', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049236'}","附件1：福州大学2023级“嘉锡化学拔尖班”招生简章.doc,附件2：福州大学2023级“嘉锡化学拔尖班”选拔方案.doc",https://jwch.fzu.edu.cn/info/1037/12929.htm,福州大学关于开展2023级“嘉锡化学拔尖班”招生工作的通知,【教研教改】
2023-08-26,"[905, 544, 730]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049254', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049255', '附件3': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049256'}","超星尔雅使用手册（学生版）.pdf,智慧树学生端操作手册.pdf,慕课堂学生操作手册.pdf",https://jwch.fzu.edu.cn/info/1038/12931.htm,关于2023-2024学年第一学期通识教育选修课选课的通知,【计划科】
2023-08-26,"[325, 325]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049257', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049258'}","2023-2024学年第一学期国情课列表.docx,港澳台侨学生思政课和军事课程退选申请表.docx",https://jwch.fzu.edu.cn/info/1038/12932.htm,关于2023-2024学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,【计划科】
2023-08-26,,{},,https://jwch.fzu.edu.cn/info/1036/12933.htm,关于2023-2024第一学期学期选课补退选的通知,【注册中心】
2023-08-27,,{},,https://jwch.fzu.edu.cn/info/1035/12934.htm,关于2023级福州大学本科生学生证信息采集的通知,【综合科】
2023-08-27,"[113, 266, 118]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049655', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049656', '附件3': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13049657'}","附件1：福州大学课堂教学质量评估表.doc,附件2：2023-2024学年第一学期第一周课表.xlsx,附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc",https://jwch.fzu.edu.cn/info/1040/12935.htm,关于开学第一周集中听课的通知,【质量办】
2023-08-27,,{},,https://jwch.fzu.edu.cn/info/1036/12936.htm,关于2023-2024第一学期辅修专业补退选、缴费的通知,【注册中心】
2023-08-27,,{},,https://jwch.fzu.edu.cn/info/1035/12937.htm,关于2023-2024学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,【综合科】
2023-08-29,[265],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13050845'},附件1：专家信息汇总表.xlsx,https://jwch.fzu.edu.cn/info/1039/12939.htm,关于做好2022-2023学年度本科毕业论文（设计）抽检工作的通知,【实践科】
2023-08-29,,{},,https://jwch.fzu.edu.cn/info/1037/12942.htm,关于公布参加2023级“数理金融实验班”选拔面试学生名单的通知,【教研教改】
2023-08-30,,{},,https://jwch.fzu.edu.cn/info/1038/12951.htm,关于2023级学生选修《大学信息技术基础》的通知,【计划科】
2023-08-30,,{},,https://jwch.fzu.edu.cn/info/1037/12952.htm,关于公布参加2023级“嘉锡化学拔尖班”选拔面试学生名单的通知,【教研教改】
2023-08-30,,{},,https://jwch.fzu.edu.cn/info/1037/12953.htm,关于公布参加2023级“数理综合班”选拔面试学生名单的通知,【教研教改】
2023-09-01,,{},,https://jwch.fzu.edu.cn/info/1035/12955.htm,关于召开2023-2024学年秋季学期期初本科教育教学工作会议的通知,【综合科】
2023-09-05,,{},,https://jwch.fzu.edu.cn/info/1038/12962.htm,关于公布2023-2024学年第一学期通选课取消开课名单的通知,【计划科】
2023-09-06,,{},,https://jwch.fzu.edu.cn/info/1036/12973.htm,关于受第11号台风“海葵”影响课程调整的通知,【注册中心】
2023-09-06,,{},,https://jwch.fzu.edu.cn/info/1036/12977.htm,关于9月7日开展线上教学的紧急通知,【注册中心】
2023-09-11,,{},,https://jwch.fzu.edu.cn/info/1036/12983.htm,关于2023-2024学年第一学期重新学习选课、缴费的通知,【注册中心】
2023-09-14,,{},,https://jwch.fzu.edu.cn/info/1037/12994.htm,福州大学关于公布2023级“数理金融实验班”学生名单的通知,【教研教改】
2023-09-08,"[166, 134]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13053671', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13053672'}","福州大学本科生转专业管理实施办法（暂行）.docx,福州大学参军退伍复学后学生转专业审批表.doc",https://jwch.fzu.edu.cn/info/1036/12981.htm,关于做好2023年参军退役学生转专业的通知,【注册中心】
2023-09-14,,{},,https://jwch.fzu.edu.cn/info/1040/12997.htm,关于举办福州大学第四十六场“教学有道”研讨活动的通知,【质量办】
2023-09-14,,{},,https://jwch.fzu.edu.cn/info/1037/12995.htm,福州大学关于公布2023级“数理综合班”学生名单的通知,【教研教改】
2023-09-14,,{},,https://jwch.fzu.edu.cn/info/1037/12996.htm,福州大学关于公布2023级 “嘉锡化学拔尖班”学生名单的通知,【教研教改】
2023-09-15,"[769, 1090]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13134048', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13134049'}","福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls,福州大学第二十八期本科生科研训练计划项目结题成绩汇总表.xls",https://jwch.fzu.edu.cn/info/1039/12998.htm,关于公布第二十七、二十八期本科生科研训练计划项目结题成绩的通知,【实践科】
2023-05-31,,{},,https://jwch.fzu.edu.cn/info/1039/12805.htm,关于公布第二十九期本科生科研训练计划立项项目的通知,【实践科】
2023-06-01,[373],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12993877'},2202概率期末考6.11下午.xlsx,https://jwch.fzu.edu.cn/info/1036/12807.htm,关于2022-2023学年第二学期《概率论与数理统计》课程期末考试安排的通知,【注册中心】
2023-06-05,,{},,https://jwch.fzu.edu.cn/info/1038/12808.htm,关于2023-2024学年第一学期修读辅修专业学生名单的公示,【计划科】
2023-06-07,,{},,https://jwch.fzu.edu.cn/info/1035/12821.htm,关于转发12306手机客户端提供学生优惠资质在线核验服务的通知,【综合科】
2023-06-09,[135],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997452'},2202 工程制图 期末考试安排 6.18下午.xlsx,https://jwch.fzu.edu.cn/info/1036/12827.htm,关于2022-2023学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,【注册中心】
2023-06-09,"[288, 321]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12995968', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12995838'}","2202英语二、四期末考试6.18下午.xlsx,2202英语三期末考试6.18上午.xlsx",https://jwch.fzu.edu.cn/info/1036/12828.htm,关于2022-2023学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,【注册中心】
2023-06-12,,{},,https://jwch.fzu.edu.cn/info/1038/12829.htm,关于公布2023-2024学年第一学期修读辅修专业学生名单的通知,【计划科】
2023-06-13,,{},,https://jwch.fzu.edu.cn/info/1037/12830.htm,福州大学关于公布2021级数理金融实验班学生主辅修专业及导师名单的通知,【教研教改】
2023-06-14,"[243, 221, 218, 240, 205, 232, 197]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997762', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997765', '附件3': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997764', '附件4': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997763', '附件5': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997761', '附件6': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997760', '附件7': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997759'}","附件4：2023年省级一流本科课程申报说明.docx,附件7：虚拟仿真实验教学一流课程简介视频及教学引导视频技术要求.pdf,附件5：2023年福建省一流本科课程申报书.rar,附件6：国家虚拟仿真实验教学课程技术接口规范（2020版）.pdf,附件3：教育部办公厅关于开展第二批国家级一流本科课程认定工作的通知（教高厅函〔2021〕13号）.doc,附件1：福建省教育厅办公室关于开展2023年一流本科课程认定及推荐工作的通（闽教办高〔2023〕2号）.pdf,附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc",https://jwch.fzu.edu.cn/info/1037/12832.htm,福州大学关于开展2023年省级一流本科课程申报推荐工作的通知,【教研教改】
2023-06-19,,{},,https://jwch.fzu.edu.cn/info/1036/12841.htm,关于2023-2024学年第一学期本科生学期选课的通知,【注册中心】
2023-06-19,,{},,https://jwch.fzu.edu.cn/info/1036/12842.htm,关于2023年端午节放假课程调整的通知,【注册中心】
2023-06-15,,{},,https://jwch.fzu.edu.cn/info/1040/12835.htm,关于举办福州大学第四十三场“教学有道”研讨活动的通知,【质量办】
2023-06-20,,{},,https://jwch.fzu.edu.cn/info/1039/12843.htm,关于公布2023年第二十三届数学竞赛获奖名单的通知,【实践科】
2023-06-20,,{},,https://jwch.fzu.edu.cn/info/1039/12844.htm,关于公布第二十届程序设计竞赛获奖名单的通知,【实践科】
2023-06-20,,{},,https://jwch.fzu.edu.cn/info/1039/12845.htm,关于公布2023年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,【实践科】
2023-06-20,,{},,https://jwch.fzu.edu.cn/info/1039/12846.htm,关于公布第十四届企业经营模拟沙盘对抗赛获奖名单的通知,【实践科】
2023-06-20,[486],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999431'},附件3：2023年福州大学大学生工程实践与创新能力大赛命题与运行.pdf,https://jwch.fzu.edu.cn/info/1039/12847.htm,关于举办2023年福州大学大学生工程实践与创新能力大赛暨2023年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,【实践科】
2023-06-21,"[254, 221]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999538', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999539'}","2202大学物理A、C 期末考7.6上午.xlsx,2202大学物理B 期末考7.6下午.xlsx",https://jwch.fzu.edu.cn/info/1036/12848.htm,关于2022-2023学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,【注册中心】
2023-06-21,[302],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999540'},202202英语拓展课考试7.3上、下午.xls,https://jwch.fzu.edu.cn/info/1036/12850.htm,关于2022-2023学年第二学期大学英语拓展课程期末考试安排的通知,【注册中心】
2023-06-26,"[2899, 2006]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13002268', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13002269'}","2023年国家级、省级大学生创新创业训练计划推荐项目汇总表.doc,福州大学第29期本科生科研训练计划立项项目汇总表.doc",https://jwch.fzu.edu.cn/info/1039/12862.htm,关于公布2023年国家级、省级大学生创新创业训练计划推荐立项项目的通知,【实践科】
2023-05-30,,{},,https://jwch.fzu.edu.cn/info/1039/12801.htm,关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,【实践科】
2023-05-30,,{},,https://jwch.fzu.edu.cn/info/1039/12803.htm,关于公布福州大学第九届桥梁设计大赛获奖名单的通知,【实践科】
2023-05-30,[1904],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12993329'},福州大学本科生创新创业实践与素质拓展学分申报汇总表.doc,https://jwch.fzu.edu.cn/info/1039/12804.htm,关于公布2023年本科生创新创业实践与素质拓展学分认定结果的通知,【实践科】
2023-05-30,,{},,https://jwch.fzu.edu.cn/info/1039/12802.htm,关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,【实践科】
2023-08-04,,{},,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1040&wbnewsid=12893,关于举办福州大学第四十五场“教学有道”研讨活动的通知,【质量办】
